,open,high,low,close,volume
2019-10-25,369.0,378.5,362.8,375.8,706297
2019-10-29,360.0,365.8,353.3,359.95,1161736
2019-10-30,363.8,371.2,360.85,368.25,364495
2019-10-31,367.4,376.8,364.0,374.4,416487
2019-11-01,363.1,376.5,363.1,374.05,344053
2019-11-04,377.0,381.7,374.3,378.2,226059
2019-11-05,378.0,386.0,375.0,384.25,430390
2019-11-06,384.05,385.0,370.6,371.55,485390
2019-11-07,375.0,375.65,369.05,371.65,306246
2019-11-08,371.0,375.7,366.8,369.05,217173
2019-11-11,370.0,373.7,368.35,371.7,244244
2019-11-13,372.5,373.0,366.4,368.5,446714
2019-11-14,358.0,368.0,350.5,362.65,816958
2019-11-15,354.4,398.0,354.4,393.2,2423676
2019-11-18,395.0,420.4,392.2,409.15,2131484
2019-11-19,427.0,445.45,421.55,439.25,4329088
2019-11-20,446.95,452.95,433.45,437.25,2356737
2019-11-21,443.9,443.9,422.45,426.25,798426
2019-11-22,425.0,429.7,417.0,421.0,770763
2019-11-25,421.0,455.65,421.0,451.3,1346541
2019-11-26,444.35,446.95,430.0,431.7,1076861
2019-11-27,433.95,436.8,426.4,433.5,528045
2019-11-28,433.5,443.9,428.65,436.7,793014
2019-11-29,440.0,449.55,435.55,442.3,1012160
2019-12-02,470.0,485.75,455.15,458.55,2064165
2019-12-03,459.1,465.0,445.5,458.95,1088762
2019-12-04,459.0,464.75,454.65,460.85,650897
2019-12-05,464.2,464.2,445.05,447.2,553916
2019-12-06,451.55,452.1,442.65,444.75,413407
2019-12-09,448.75,451.55,441.85,445.75,298313
2019-12-10,446.75,451.1,443.6,447.05,258730
2019-12-11,446.0,448.65,440.4,442.5,205609
2019-12-12,445.0,445.0,436.3,438.3,242314
2019-12-13,440.0,440.1,426.0,427.5,369565
2019-12-16,432.0,432.0,420.35,421.8,267238
2019-12-17,424.05,441.3,417.9,439.95,525663
2019-12-18,448.0,448.0,434.15,438.2,2022918
2019-12-19,436.9,456.4,430.55,448.5,471732
2019-12-20,449.9,460.05,445.75,453.5,547514
2019-12-23,446.05,459.0,446.05,454.65,331915
2019-12-24,455.0,460.35,452.65,457.35,340945
2019-12-26,455.3,456.75,445.45,447.15,280724
2019-12-27,448.9,457.0,448.75,455.3,177898
2019-12-30,457.3,464.75,455.3,460.5,299221
2019-12-31,460.65,462.45,454.5,455.8,178090
2020-01-01,458.0,460.25,449.8,453.3,181698
2020-01-02,454.0,459.35,453.65,455.0,127931
2020-01-03,455.0,459.15,451.7,455.0,150290
2020-01-06,457.0,457.4,444.85,449.5,204200
2020-01-07,454.0,455.2,443.1,445.35,104506
2020-01-08,435.4,460.4,435.4,458.95,395257
2020-01-09,471.0,474.05,455.3,459.85,634399
2020-01-10,465.85,465.9,454.2,457.2,648601
2020-01-13,456.3,470.25,454.4,468.85,281915
2020-01-14,467.0,472.6,467.0,469.45,2817495
2020-01-15,468.0,471.85,465.0,467.75,144836
2020-01-16,468.55,476.75,468.55,474.05,409084
2020-01-17,470.1,503.6,470.1,500.0,1321787
2020-01-20,501.9,512.7,494.05,509.25,974808
2020-01-21,509.1,515.0,504.4,511.35,1532992
2020-01-22,515.0,524.0,507.15,514.35,451766
2020-01-23,516.0,526.0,512.6,523.6,599925
2020-01-24,520.1,527.2,514.2,524.05,403751
2020-01-27,522.4,524.0,511.55,514.3,304360
2020-01-28,515.3,515.3,485.95,490.9,1997641
2020-01-29,493.0,501.45,488.5,490.05,427946
2020-01-30,495.0,495.0,480.1,489.55,244834
2020-01-31,487.05,499.15,486.8,496.7,306568
2020-02-03,495.55,513.2,495.5,510.3,324806
2020-02-04,515.45,522.8,503.9,519.1,322754
2020-02-05,519.1,537.75,515.65,533.5,1103590
2020-02-06,533.6,552.85,533.6,546.75,483053
2020-02-07,548.2,548.6,538.25,539.6,170395
2020-02-10,540.0,543.75,536.45,538.5,161954
2020-02-11,538.6,544.85,532.85,534.45,175818
2020-02-12,535.05,542.1,535.0,539.55,68556
2020-02-13,545.0,545.0,532.0,539.8,95917
2020-02-14,543.6,567.4,534.5,565.1,1297923
2020-02-17,564.25,568.6,556.7,565.0,565146
2020-02-18,564.0,568.6,537.65,547.75,1194752
2020-02-19,549.9,553.35,539.2,543.35,296874
2020-02-20,542.0,552.0,538.5,545.5,293374
2020-02-24,543.9,543.9,527.05,529.8,194464
2020-02-25,531.0,537.55,530.85,535.35,145479
2020-02-26,535.0,539.5,520.45,536.45,543243
2020-02-27,535.0,536.0,526.85,531.8,1117773
2020-02-28,528.0,528.0,513.5,524.05,276775
2020-03-02,534.15,535.95,512.2,518.55,320519
2020-03-03,524.9,533.0,514.5,521.2,267477
2020-03-04,523.85,532.7,507.75,516.7,324688
2020-03-05,521.0,531.0,516.75,527.2,873161
2020-03-06,525.0,525.0,511.8,519.15,220817
2020-03-09,514.9,514.9,491.2,496.25,326383
2020-03-11,494.45,508.5,488.15,493.7,487261
2020-03-12,483.0,483.0,459.45,464.95,461121
2020-03-13,432.0,511.4,419.0,494.2,585872
2020-03-16,480.7,492.6,456.6,464.65,541843
2020-03-17,464.65,480.7,444.4,454.1,606436
2020-03-18,460.0,478.4,409.3,426.2,1547056
2020-03-19,410.2,451.35,381.05,444.9,1211520
2020-03-20,449.9,472.15,437.0,461.9,557956
2020-03-23,420.0,470.0,399.65,405.8,368778
2020-03-24,414.0,435.55,400.7,404.05,345227
2020-03-25,400.0,437.8,400.0,429.75,213114
2020-03-26,434.0,494.05,420.6,478.0,426495
2020-03-27,475.0,475.0,437.45,448.9,1199507
2020-03-30,448.0,449.25,427.45,429.25,734396
2020-03-31,438.0,447.0,424.1,440.6,3652566
2020-04-01,443.0,443.0,412.6,421.1,477034
2020-04-03,423.0,429.65,415.7,423.95,370270
2020-04-07,432.0,473.4,432.0,470.05,625100
2020-04-08,470.5,490.95,453.3,461.6,349539
2020-04-09,468.0,492.0,468.0,489.05,265271
2020-04-13,491.0,520.8,491.0,511.75,958040
